seed,module,coverage,mean_distance,gini,training_loss,train_seconds,search_seconds,total_seconds,selected_indices
1003,GraphSAGE,0.7028705045843426,4.48178510243354,0.2657519282256975,1.0122750997543335,0.5251852999790572,0.6993988999747671,1.2245841999538243,2 8 18 19 23 24 30 61 67 69 74 75
1003,MLP+fixed diffusion,0.7028705045843426,4.48178510243354,0.2657519282256975,1.012868046760559,0.5270590999862179,0.6864170000189915,1.2134761000052094,2 8 18 19 23 24 30 61 67 69 74 75
1004,GAT,0.702773933212017,4.589482534154308,0.23137524444145863,1.014937162399292,0.5693668999883812,0.7225109999999404,1.2918778999883216,2 20 23 27 28 30 45 50 61 63 67 75
1004,GCN,0.7189481954285659,4.529112458229808,0.23007461426066467,1.016796588897705,0.5017579999985173,0.6792727000138257,1.181030700012343,2 20 27 37 45 57 61 63 66 73 74 75
1004,GraphSAGE,0.7227880028367717,4.4926003102727,0.22468051432148806,1.0154274702072144,0.5342432999750599,0.9603109000017866,1.4945541999768466,2 20 27 45 57 61 63 67 71 73 74 75
1004,MLP+fixed diffusion,0.7189481954285659,4.529112458229808,0.23007461426066467,1.0177057981491089,0.5238437999796588,0.6656549000181258,1.1894986999977846,2 20 27 37 45 57 61 63 66 73 74 75
1005,GAT,0.6838081005001377,4.705539467187492,0.22757341000139597,1.0051116943359375,0.576724100013962,0.7972018999862485,1.3739260000002105,2 12 20 23 27 28 36 46 50 61 67 75
1005,GCN,0.7542681050801616,4.450872538676819,0.25354696006672583,1.005506157875061,0.8331941000069492,0.7606441999960225,1.5938383000029717,2 20 27 30 39 45 61 63 64 66 72 74
1005,GraphSAGE,0.6838081005001377,4.705539467187492,0.22757341000139597,1.0055359601974487,0.5567568000114989,0.8188064999994822,1.375563300010981,2 12 20 23 27 28 36 46 50 61 67 75
1005,MLP+fixed diffusion,0.708200714719784,4.67615389269973,0.23772551318144808,1.006596565246582,0.5417984999949113,0.7850447999953758,1.326843299990287,10 13 20 23 28 36 46 61 66 67 73 75
1006,GAT,0.7194149885862934,4.37664831531078,0.25340461012359317,1.0001235008239746,0.5963162999833003,0.7395076999964658,1.335823999979766,15 18 20 23 27 46 49 51 64 66 67 74
1006,GCN,0.7596077090947596,4.436973253036615,0.2559610758195593,1.0012516975402832,0.5024850000045262,0.7645255000097677,1.267010500014294,1 2 18 20 27 37 39 61 63 66 72 74
1006,GraphSAGE,0.7283344001008965,4.35744294826415,0.24606638061736552,1.0007153749465942,0.6006380000035278,0.6992549000133295,1.2998929000168573,7 18 19 20 23 46 49 51 61 67 71 73
1006,MLP+fixed diffusion,0.7443294956618607,4.582460029443735,0.2476306399227579,1.0011041164398193,0.5338712000229862,0.7308036000176799,1.264674800040666,5 10 20 27 37 39 61 62 63 64 75 78
1007,GAT,0.692817502710374,4.4222969193421955,0.24447633230984256,1.0529582500457764,0.5789162000000942,0.7223270999966189,1.3012432999967132,9 18 20 23 24 30 51 61 67 71 73 74
1007,GCN,0.7220919015073988,4.465372690816107,0.24934746356598014,1.0514037609100342,0.5320747999940068,0.6627587999973912,1.194833599991398,2 9 13 20 27 28 45 46 57 61 67 75
1007,GraphSAGE,0.7313147939239233,4.378835050788407,0.25650610823577624,1.0512416362762451,0.5770180999825243,0.7319800000113901,1.3089980999939144,15 20 23 27 28 35 46 51 61 64 67 74
1007,MLP+fixed diffusion,0.7502715567904371,4.414316816330073,0.25979681198193005,1.0530908107757568,0.5518788000044879,0.7770111999998335,1.3288900000043213,1 2 20 27 35 39 50 61 63 66 72 74
1008,GAT,0.7161922384175025,4.337252229619186,0.27673656791467927,1.0225962400436401,0.5719595999980811,0.8073561000055633,1.3793157000036445,0 14 18 20 23 49 51 63 66 67 73 74
